# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	6133
#@/user_id	fuermobai_archlinux_v1.0
a 	啊	c=53 d=2.0754 t=6133
a 	阿	c=1 d=1 t=1844
a di 	阿迪	c=1 d=1 t=4922
a li ba ba 	阿里巴巴	c=1 d=1 t=5750
ai 	哎	c=2 d=1.53794 t=5199
ai 	唉	c=1 d=0.431711 t=6133
ai 	愛	c=1 d=0.0371577 t=6133
ai 	艾	c=1 d=0.164475 t=6133
ai hao 	愛好	c=1 d=1 t=5590
ai ru xing he 	愛如星河	c=1 d=1 t=4386
ai shang 	愛上	c=1 d=1 t=3329
ai ya 	哎呀	c=1 d=1 t=4439
ai zheng 	癌症	c=1 d=1 t=4396
an 	案	c=1 d=0.329559 t=6133
an fang 	安防	c=2 d=1.09585 t=2898
an jian 	安檢	c=1 d=0.57695 t=6133
an jian 	按鍵	c=1 d=1 t=3600
an pai 	安排	c=1 d=1 t=2124
an quan 	安全	c=7 d=1.00683 t=6133
an quan fang fan 	安全防範	c=3 d=1.96864 t=2435
an quan guan li 	安全管理	c=2 d=1.3379 t=2606
an quan ji cheng ping tai xi tong 	安全集成平臺系統	c=1 d=0.402524 t=6133
an quan jian cha 	安全檢查	c=2 d=1.99005 t=2420
an quan ping tai 	安全平臺	c=7 d=1.56391 t=6133
an zhao 	按照	c=1 d=1 t=4224
an zhuang 	安裝	c=9 d=0.0619568 t=6133
an zhuang bu shu 	安裝部署	c=1 d=0.0105145 t=6133
an zhuang shang 	安裝上	c=1 d=1 t=4171
ao man yu pian jian 	傲慢與偏見	c=1 d=0.00625108 t=6133
ba 	吧	c=46 d=2.4948 t=6133
ba 	把	c=11 d=0.337015 t=6133
ba 	爸	c=2 d=0.239309 t=6133
ba si 	八四	c=0 d=0.027665 t=6133
ba si nian 	八四年	c=1 d=0.278037 t=6133
bai bai 	拜拜	c=1 d=1 t=5410
bai du 	百度	c=1 d=0.311923 t=6133
bai wan 	百萬	c=1 d=1 t=2097
bai yu 	白域	c=3 d=2.98506 t=5468
ban 	版	c=2 d=0.183427 t=5962
ban ben 	版本	c=2 d=1.07847 t=3584
ban fa 	辦法	c=1 d=1 t=4451
ban ju 	半句	c=0 d=0.000213348 t=6133
ban quan 	版權	c=2 d=1.93707 t=5968
ban zai 	板仔	c=1 d=1 t=3756
ban zheng 	辦證	c=2 d=1.21795 t=2672
bang 	幫	c=3 d=0.491644 t=6133
